93.81%,9,,ADEME,"L'Agence de l'environnement et de la maîtrise de l'énergie (ADEME ou Ademe) est un établissement public à caractère industriel et commercial (EPIC) français créé en 1991.
L'ADEME dispose de cinq domaine d'intervention : Déchets, sols pollués et friches, énergie et climat, air et bruit, actions transversales (production et consommation durable, villes et territoires durables)
L'agence s'organise en quatre métiers:  connaître (l’animation et participation au financement de la recherche et de l’innovation); convaincre et mobiliser (sensibilisation des publics); conseiller (rôle de conseil pour orienter les choix des acteurs socio-économiques et élabore des outils et méthodes adaptés à leurs attente) ; aider à réaliser (soutien financier gradués et favorise la mise en œuvre de références régionales et nationales).
","https://www.ademe.fr
",10,France,France,secteur d'activité de l'administration publique (tutelle) des activités économiques,1991,NC,compris entre 1000 et 1999 salariés,Public,établissement public à caractère industriel et commercial (EPIC),Ministère de la Transition écologique et solidaire,Bilans GES,"Le Centre de Ressources Bilans GES héberge la plateforme de publication liée à l’obligation réglementaire de réalisation des Bilans GES pour les entreprises de plus de 500 salariés (250 pour les DROM-COM), les établissements publics de plus de 250 salariés, les collectivités de plus de 50 000 habitants et les services de l’Etat.

Le jeu de données mis à disposition ici agrège l’ensemble des données publiques issues des Bilans GES publiés par les organisations sur la plateforme de l’ADEME, qu’elles soient obligées ou non par la réglementation.",Elevée,Basse,Open Data,1,0,France,Statistiques officielles,Transition,N,N,O,N,N,N,N,https://data.ademe.fr/datasets/bilans-ges,NC,"EDOUARD FOURDRIN
LISA BERTRAND","SENIOR CLIMATE OFFICER
BUSINESS DEVELOPER","20 Avenue du Grésillé, 49000 Angers",02 41 20 41 20,"edouard.fourdrin@ademe.fr
lisa.bertrand@ademe.fr","Message téléphonique laissé au secrétaire de l'ADEME (Noam Léandri) pour partager sur différents sujets : collecte de données, stratégie bas carbone, suite de la thèse en partenariat. ",Sans objet,Guillaume Flament,Konrad Skorupa,Fini,Sans objet,Utilisé pour le POC Evaluation des emissions de gaz a effet de serres (KONRAD),Open Data,Konrad Skorupa,O,O,O,CSV ,O,O,N,N,N,N,"5,64 Mo ",131,3172,Data,O,O,N,31.12.2020,Annuelle,O,France,Point,O,2009,2020,O,O,O,Sans commentaire,N,N,N,N,N,N,N,N,N,N,N,N,N,N,O,O,O,O,N,N,N,N,N,N,N,N,,N,N,N,,,,OK,,
91.15%,10,,ADEME,"L'Agence de l'environnement et de la maîtrise de l'énergie (ADEME ou Ademe) est un établissement public à caractère industriel et commercial (EPIC) français créé en 1991.
L'ADEME dispose de cinq domaine d'intervention : Déchets, sols pollués et friches, énergie et climat, air et bruit, actions transversales (production et consommation durable, villes et territoires durables)
L'agence s'organise en quatre métiers:  connaître (l’animation et participation au financement de la recherche et de l’innovation); convaincre et mobiliser (sensibilisation des publics); conseiller (rôle de conseil pour orienter les choix des acteurs socio-économiques et élabore des outils et méthodes adaptés à leurs attente) ; aider à réaliser (soutien financier gradués et favorise la mise en œuvre de références régionales et nationales).
","https://www.ademe.fr
",10,France,France,secteur d'activité de l'administration publique (tutelle) des activités économiques,1991,NC,compris entre 1000 et 1999 salariés,Public,établissement public à caractère industriel et commercial (EPIC),Ministère de la Transition écologique et solidaire,Inventaire de gaz à effet de serre territorialisé,"Cet inventaire spatialisé a vocation à donner des ordres de grandeur pertinents pour l’année 2016. Il n’a pas le niveau de finesse et de précision des travaux d’inventaire réalisés au niveau territorial par les associations agréées de surveillance de la qualité de l’air (www.atmo-france.org), les agences régionales de l’énergie (www.rare.fr), ou des travaux nationaux à hautes résolutions spatiales et temporelles (projet de grande ampleur type Inventaire National Spatialisé - INS).",Basse,Basse,Open Data,1,0,France,Statistiques officielles,Transition,N,N,O,N,N,N,N,https://www.data.gouv.fr/fr/datasets/inventaire-de-gaz-a-effet-de-serre-territorialise/,NC,"EDOUARD FOURDRIN
LISA BERTRAND","SENIOR CLIMATE OFFICER
BUSINESS DEVELOPER","20 Avenue du Grésillé, 49000 Angers",02 41 20 41 20,"edouard.fourdrin@ademe.fr
lisa.bertrand@ademe.fr","Message téléphonique laissé au secrétaire de l'ADEME (Noam Léandri) pour partager sur différents sujets : collecte de données, stratégie bas carbone, suite de la thèse en partenariat. ",Sans objet,Sarah DAYMIER,Sarah DAYMIER,Fini,Sans objet,Fini,Open Data,Sarah DAYMIER,O,O,O,"XLS, CSV",O,O,N,N,N,N,,,,Data,O,N,N,26 January 2021,Annuelle,O,France,Commune,N,NC,NC,N,N,N,Sans commentaire,N,N,N,N,N,N,N,N,N,N,N,N,N,N,O,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,,,,OK,,
91.15%,11,,ADEME,"L'Agence de l'environnement et de la maîtrise de l'énergie (ADEME ou Ademe) est un établissement public à caractère industriel et commercial (EPIC) français créé en 1991.
L'ADEME dispose de cinq domaine d'intervention : Déchets, sols pollués et friches, énergie et climat, air et bruit, actions transversales (production et consommation durable, villes et territoires durables)
L'agence s'organise en quatre métiers:  connaître (l’animation et participation au financement de la recherche et de l’innovation); convaincre et mobiliser (sensibilisation des publics); conseiller (rôle de conseil pour orienter les choix des acteurs socio-économiques et élabore des outils et méthodes adaptés à leurs attente) ; aider à réaliser (soutien financier gradués et favorise la mise en œuvre de références régionales et nationales).
","https://www.ademe.fr
",10,France,France,secteur d'activité de l'administration publique (tutelle) des activités économiques,1991,NC,compris entre 1000 et 1999 salariés,Public,établissement public à caractère industriel et commercial (EPIC),Ministère de la Transition écologique et solidaire,Liste des entreprises RGE,"L'ADEME et les pouvoirs publics accordent la mention ""Reconnu Garant de l'Environnement"" (RGE) à certains professionnels du secteur du bâtiment et des énergies renouvelables. Cette mention donne la possibilité aux entreprises de se former aux énergies renouvelables. Elle est aussi une reconnaissance de qualité et permet aux clients de ces entreprises d'obtenir les aides publiques allouées aux travaux de performance énergétique. ",Basse,Basse,Open Data,1,0,France,Statistiques officielles,Transition / RSE,O,N,O,N,O,N,N,https://data.ademe.fr/datasets/liste-des-entreprises-rge,NC,"EDOUARD FOURDRIN
LISA BERTRAND","SENIOR CLIMATE OFFICER
BUSINESS DEVELOPER","20 Avenue du Grésillé, 49000 Angers",02 41 20 41 20,"edouard.fourdrin@ademe.fr
lisa.bertrand@ademe.fr","Message téléphonique laissé au secrétaire de l'ADEME (Noam Léandri) pour partager sur différents sujets : collecte de données, stratégie bas carbone, suite de la thèse en partenariat. ",Sans objet,Sarah DAYMIER,Sarah DAYMIER,Fini,Sans objet,Fini,Open Data,Sarah DAYMIER,O,N,N,"XLS, CSV",O,O,N,N,N,N,,,,Data,O,N,N,21 janvier 2021,Annuelle,O,France,Adresse,N,NC,NC,N,N,N,Sans commentaire,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,O,,,,OK,,
90.27%,12,,ADEME,"L'Agence de l'environnement et de la maîtrise de l'énergie (ADEME ou Ademe) est un établissement public à caractère industriel et commercial (EPIC) français créé en 1991.
L'ADEME dispose de cinq domaine d'intervention : Déchets, sols pollués et friches, énergie et climat, air et bruit, actions transversales (production et consommation durable, villes et territoires durables)
L'agence s'organise en quatre métiers:  connaître (l’animation et participation au financement de la recherche et de l’innovation); convaincre et mobiliser (sensibilisation des publics); conseiller (rôle de conseil pour orienter les choix des acteurs socio-économiques et élabore des outils et méthodes adaptés à leurs attente) ; aider à réaliser (soutien financier gradués et favorise la mise en œuvre de références régionales et nationales).
","https://www.ademe.fr
",10,France,France,secteur d'activité de l'administration publique (tutelle) des activités économiques,1991,NC,compris entre 1000 et 1999 salariés,Public,établissement public à caractère industriel et commercial (EPIC),Ministère de la Transition écologique et solidaire,Diagnostics de performance énergétique pour les logements par habitation,"Le diagnostic de performance énergétique (DPE) renseigne sur la performance énergétique d’un logement ou d’un bâtiment, en évaluant sa consommation d’énergie et son impact en terme d’émissions de gaz à effet de serre.",Elevée,Basse,Open Data,1,0,France,Statistiques officielles,Transition,N,N,O,N,N,N,N,https://data.ademe.fr/datasets/dpe-france,https://www.data.gouv.fr/fr/posts/la-base-des-diagnostics-de-performance-energetique-dpe/,"EDOUARD FOURDRIN
LISA BERTRAND","SENIOR CLIMATE OFFICER
BUSINESS DEVELOPER","20 Avenue du Grésillé, 49000 Angers",02 41 20 41 20,"edouard.fourdrin@ademe.fr
lisa.bertrand@ademe.fr","Message téléphonique laissé au secrétaire de l'ADEME (Noam Léandri) pour partager sur différents sujets : collecte de données, stratégie bas carbone, suite de la thèse en partenariat. ",Sans objet,Sarah DAYMIER,Sarah DAYMIER,Fini,Sans objet,Fini,Open Data,,N,N,N,"XLS, CSV",O,O,N,N,N,N,,,,Data,O,N,N,26/03/2021,Annuelle,O,France,Point,O,2013,2021,O,O,O,Sans commentaire,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,O,N,N,,O,N,N,,,,OK,,
90.27%,13,,ADEME,"L'Agence de l'environnement et de la maîtrise de l'énergie (ADEME ou Ademe) est un établissement public à caractère industriel et commercial (EPIC) français créé en 1991.
L'ADEME dispose de cinq domaine d'intervention : Déchets, sols pollués et friches, énergie et climat, air et bruit, actions transversales (production et consommation durable, villes et territoires durables)
L'agence s'organise en quatre métiers:  connaître (l’animation et participation au financement de la recherche et de l’innovation); convaincre et mobiliser (sensibilisation des publics); conseiller (rôle de conseil pour orienter les choix des acteurs socio-économiques et élabore des outils et méthodes adaptés à leurs attente) ; aider à réaliser (soutien financier gradués et favorise la mise en œuvre de références régionales et nationales).
","https://www.ademe.fr
",10,France,France,secteur d'activité de l'administration publique (tutelle) des activités économiques,1991,NC,compris entre 1000 et 1999 salariés,Public,établissement public à caractère industriel et commercial (EPIC),Ministère de la Transition écologique et solidaire,Diagnostics de performance énergétique pour les bâtiments tertiaire,"Le diagnostic de performance énergétique (DPE) renseigne sur la performance énergétique d’un logement ou d’un bâtiment, en évaluant sa consommation d’énergie et son impact en terme d’émissions de gaz à effet de serre. Il s’inscrit dans le cadre de la politique énergétique définie au niveau européen afin de réduire la consommation d’énergie des bâtiments et de limiter les émissions de gaz à effet de serre.

Le contenu et les modalités d’établissement du DPE sont réglementés. Le DPE décrit le bâtiment ou le logement (surface, orientation, murs, fenêtres, matériaux, etc), ainsi que ses équipements de chauffage, de production d’eau chaude sanitaire, de refroidissement et de ventilation. Il indique, suivant les cas, soit la quantité d’énergie effectivement consommée (sur la base de factures), soit la consommation d’énergie estimée pour une utilisation standardisée du bâtiment ou du logement.",Elevée,Basse,Open Data,1,0,France,Statistiques officielles,Transition,N,N,O,N,N,N,N,https://data.ademe.fr/datasets/dpe-tertiaire,NC,"EDOUARD FOURDRIN
LISA BERTRAND","SENIOR CLIMATE OFFICER
BUSINESS DEVELOPER","20 Avenue du Grésillé, 49000 Angers",02 41 20 41 20,"edouard.fourdrin@ademe.fr
lisa.bertrand@ademe.fr","Message téléphonique laissé au secrétaire de l'ADEME (Noam Léandri) pour partager sur différents sujets : collecte de données, stratégie bas carbone, suite de la thèse en partenariat. ",Sans objet,Sarah DAYMIER,Sarah DAYMIER,Fini,Sans objet,Fini,Open Data,,N,N,N,"XLS, CSV",O,O,N,N,N,N,,,,Data,O,N,N,06/11/2021,Annuelle,O,France,Point,O,2013,2021,O,O,O,Sans commentaire,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,O,N,N,,N,N,O,,,,OK,,
46.02%,13,,ADEME,"L'Agence de l'environnement et de la maîtrise de l'énergie (ADEME ou Ademe) est un établissement public à caractère industriel et commercial (EPIC) français créé en 1991.
L'ADEME dispose de cinq domaine d'intervention : Déchets, sols pollués et friches, énergie et climat, air et bruit, actions transversales (production et consommation durable, villes et territoires durables)
L'agence s'organise en quatre métiers:  connaître (l’animation et participation au financement de la recherche et de l’innovation); convaincre et mobiliser (sensibilisation des publics); conseiller (rôle de conseil pour orienter les choix des acteurs socio-économiques et élabore des outils et méthodes adaptés à leurs attente) ; aider à réaliser (soutien financier gradués et favorise la mise en œuvre de références régionales et nationales).
","https://www.ademe.fr
",10,France,France,secteur d'activité de l'administration publique (tutelle) des activités économiques,1991,NC,compris entre 1000 et 1999 salariés,Public,établissement public à caractère industriel et commercial (EPIC),Ministère de la Transition écologique et solidaire,GEODIP ,GÉOLOCALISER ET DIAGNOSIQUER LA PRÉCARITÉ ÉNERGETIQUE,Basse,Basse,Open Data,1,0,France,Statistiques officielles,Transition,N,N,O,N,N,N,N,https://www.geodip.onpe.org/frontend,NC,"EDOUARD FOURDRIN
LISA BERTRAND","SENIOR CLIMATE OFFICER
BUSINESS DEVELOPER","20 Avenue du Grésillé, 49000 Angers",02 41 20 41 20,"edouard.fourdrin@ademe.fr
lisa.bertrand@ademe.fr","Message téléphonique laissé au secrétaire de l'ADEME (Noam Léandri) pour partager sur différents sujets : collecte de données, stratégie bas carbone, suite de la thèse en partenariat. ",Sans objet,Cyril Regnier,Guillaume Sevellec,Fini,Sans objet,Fini,Outils,,N,N,N,Sans objet,,,,,,,,,,Outils,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VIDE,,
80.53%,13,,ADEME,"ADEME climate transparency hub L'Agence de l'environnement et de la maîtrise de l'énergie (ADEME ou Ademe) est un établissement public à caractère industriel et commercial (EPIC) français créé en 1991.
L'ADEME dispose de cinq domaine d'intervention : Déchets, sols pollués et friches, énergie et climat, air et bruit, actions transversales (production et consommation durable, villes et territoires durables)
L'agence s'organise en quatre métiers:  connaître (l’animation et participation au financement de la recherche et de l’innovation); convaincre et mobiliser (sensibilisation des publics); conseiller (rôle de conseil pour orienter les choix des acteurs socio-économiques et élabore des outils et méthodes adaptés à leurs attente) ; aider à réaliser (soutien financier gradués et favorise la mise en œuvre de références régionales et nationales).
","https://www.ademe.fr
",10,France,France,secteur d'activité de l'administration publique (tutelle) des activités économiques,1991,NC,compris entre 1000 et 1999 salariés,Public,établissement public à caractère industriel et commercial (EPIC),Ministère de la Transition écologique et solidaire,Rapport caractérisé par entreprise,"Le Climate Transparency Hub (CTH) est une plateforme de ressources créée pour accompagner la transparence climatique des institutions financières. Sur la base d’une participation volontaire, il centralise les exercices de reporting climat, les synthétise et étudie le développement des pratiques.",Elevée,Basse,Open Data,1,0,France,Statistiques officielles,Transition,N,N,O,N,N,N,N,https://climate-transparency-hub.ademe.fr/rapport/,https://climate-transparency-hub.ademe.fr/,"EDOUARD FOURDRIN
LISA BERTRAND","SENIOR CLIMATE OFFICER
BUSINESS DEVELOPER","20 Avenue du Grésillé, 49000 Angers",02 41 20 41 20,"edouard.fourdrin@ademe.fr
lisa.bertrand@ademe.fr","Message téléphonique laissé au secrétaire de l'ADEME (Noam Léandri) pour partager sur différents sujets : collecte de données, stratégie bas carbone, suite de la thèse en partenariat. ",Sans objet,Cyril Regnier,Guillaume Sevellec,Fini,Sans objet,Fini,Open Data,,N,N,N,Doc,N,N,N,N,N,O,,,,Report,N,O,N,April 2021,NC,N,France,Entreprise,N,Sans objet,Sans objet,Sans objet,Sans objet,Sans objet,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,,,,,,,,O,N,,N,N,O,,,,Sans objet,,
93.81%,14,,Agence européenne de l'environnement (AEE),"L'Agence européenne pour l'environnement (AEE) est une agence de l'Union européenne. Notre mission est de fournir des informations fiables et indépendantes sur l'environnement. Nous constituons une des principales sources d'information pour tous ceux qui participent à mettre au point, adopter, mettre en œuvre et évaluer la politique environnementale, ainsi que pour le grand public",https://www.eea.europa.eu/,5,Danemark,UE,secteur d'activité de l'administration publique (tutelle) des activités économiques,1994,NC,200 personnes,Public,Agence européenne décentralisée,UE,European Union Emissions Trading System (EU ETS) data from EUTL,"Data about the EU emission trading system (ETS). The EU ETS data viewer provides aggregated data on emissions and allowances, by country, sector and year. The data mainly comes from the EU Transaction Log (EUTL). Additional information on auctioning and scope corrections is included.
The EU Emissions Trading System (ETS) is a central instrument of the EU's policy to fight climate change and achieve cost-efficient reductions of greenhouse gas emissions. It is the world's biggest carbon market.",Moyenne,Moyenne,Open Data,1,0,Europe,Statistiques officielles,Transition,N,N,O,N,N,N,O,https://www.eea.europa.eu/data-and-maps/data/european-union-emissions-trading-scheme-16,"https://www.eea.europa.eu/data-and-maps/dashboards/emissions-trading-viewer-1
https://www.eea.europa.eu/data-and-maps/daviz/historic-and-projected-changes-in-2#tab-chart_3",Sans objet,Sans objet,Sans objet,Sans objet,Sans objet,Sans objet,Sans objet,Sarah Daymier,Sarah Daymier,Fini,Sans objet,A analyser,Open Data,Knarik NAHAPETYAN,O,N,O,XLS,N,O,N,N,N,N,"7,33 Mo",7,61997,Data,O,N,N,2020,Annuelle,O,Europe,Pays,O,2005,2020,O,O,O,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,O,N,N,N,N,N,N,N,N,N,N,N,O,N,N,N,,,,OK,,
53.98%,15,,Agence européenne de l'environnement (AEE),"L'Agence européenne pour l'environnement (AEE) est une agence de l'Union européenne. Notre mission est de fournir des informations fiables et indépendantes sur l'environnement. Nous constituons une des principales sources d'information pour tous ceux qui participent à mettre au point, adopter, mettre en œuvre et évaluer la politique environnementale, ainsi que pour le grand public",https://www.eea.europa.eu/,5,Danemark,UE,secteur d'activité de l'administration publique (tutelle) des activités économiques,1994,NC,200 personnes,Public,Agence européenne décentralisée,UE,Waterbase - Water Quality ICM,"Waterbase is the generic name given to the EEA's databases on the status and quality of Europe's rivers, lakes, groundwater bodies and transitional, coastal and marine waters, on the quantity of Europe's water resources, and on the emissions to surface waters from point and diffuse sources of pollution.
The dataset contains time series of nutrients, organic matter, hazardous substances and other chemicals in rivers, lakes, groundwater, transitional, coastal and marine waters. A list of spatial object identifiers with selected attributes, reported through WFD and WISE Spatial data reporting, is added to dataset as spatial reference. The data has been compiled and processed by EEA.",Basse,Basse,Open Data,1,0,,,Physique,N,O,N,N,N,N,N,https://www.eea.europa.eu/data-and-maps/data/waterbase-water-quality-icm-1,"Nitrate in rivers in Europe : https://www.eea.europa.eu/data-and-maps/daviz/rivers-nitrate-4

Nitrate in groundwater in Europe : https://www.eea.europa.eu/data-and-maps/daviz/groundwater-nitrate-4#tab-chart_2_filters=%7B%22rowFilters%22%3A%7B%7D%3B%22columnFilters%22%3A%7B%22pre_config_country%22%3A%5B%22Europe%22%5D%7D%7D",Sans objet,Sans objet,Sans objet,Sans objet,Sans objet,Sans objet,Sans objet,Sarah Daymier,Sarah Daymier,Non commencé,Sans objet,A analyser,Open Data,Knarik NAHAPETYAN,O,N,O,"CSV, SQLite",O,,,,,,,,,Data,,,,2020,Annuelle,,Europe,Pays,,1992,2018,O,O,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VIDE,,
88.50%,16,,Agence européenne de l'environnement (AEE),"L'Agence européenne pour l'environnement (AEE) est une agence de l'Union européenne. Notre mission est de fournir des informations fiables et indépendantes sur l'environnement. Nous constituons une des principales sources d'information pour tous ceux qui participent à mettre au point, adopter, mettre en œuvre et évaluer la politique environnementale, ainsi que pour le grand public",https://www.eea.europa.eu/,5,Danemark,UE,secteur d'activité de l'administration publique (tutelle) des activités économiques,1994,NC,200 personnes,Public,Agence européenne décentralisée,UE,Corine land cover (niveau France),"La base de données géographiques CORINE Land Cover est produite sur 39 États européens, dans le cadre du programme européen de surveillance des terres de Copernicus, piloté par l'Agence européenne pour l'environnement.
CORINE Land Cover (CLC) est produite selon une méthodologie commune, pour garantir la comparabilité et l’homogénéité des informations entre les pays européens.

Elle est issue de l'interprétation visuelle d'images satellitaires, avec des données complémentaires d'appui, avec l'identification de zones d'au moins 25 ha et de 5 ha pour les évolutions, de 100 m de large et homogènes du point de vue de l’occupation des sols.

L'échelle de production est le 1/100 000 et repose sur une nomenclature standard hiérarchisée en 3 niveaux. Elle comprend 44 postes répartis selon 5 grands types d'occupation du territoire :
  - territoires artificialisés
  - territoires agricoles
  - forêts et milieux semi-naturels
  - zones humides
  - surfaces en eau.

Pour prendre en compte les spécificités des DOM, 6 postes supplémentaires ont été créés dans un 4ème niveau de la nomenclature standard. Ces 6 postes sont : canne à sucre, bananeraies, palmeraies, cafiers, mangroves ainsi que cours et voies d'eau temporaires. De plus, le seuil de 25 ha est abaissé à 10 ha et la largeur minimale à 50 m. La surface minimale reste à 5 ha pour les changements.",Moyenne,Basse,Open Data,1,0,France,Statistiques officielles,Autre,N,N,N,N,N,O,N,https://www.statistiques.developpement-durable.gouv.fr/corine-land-cover-0,,Sans objet,Sans objet,Sans objet,Sans objet,Sans objet,Sans objet,Sans objet,Sarah Daymier,Guillaume Sevellec,Fini,Sans objet,A analyser,Open Data,,O,N,N,Xls,N,O,N,N,N,N,,,,Data,O,N,N,2018,,O,France,Commune,O,1990,2018,O,O,O,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,OK,,
46.90%,17,,Agence européenne de l'environnement (AEE),"L'Agence européenne pour l'environnement (AEE) est une agence de l'Union européenne. Notre mission est de fournir des informations fiables et indépendantes sur l'environnement. Nous constituons une des principales sources d'information pour tous ceux qui participent à mettre au point, adopter, mettre en œuvre et évaluer la politique environnementale, ainsi que pour le grand public",https://www.eea.europa.eu/,5,Danemark,UE,secteur d'activité de l'administration publique (tutelle) des activités économiques,1994,NC,200 personnes,Public,Agence européenne décentralisée,UE,Corine land cover (niveau Europe),"La base de données géographiques CORINE Land Cover est produite sur 39 États européens, dans le cadre du programme européen de surveillance des terres de Copernicus, piloté par l'Agence européenne pour l'environnement.
CORINE Land Cover (CLC) est produite selon une méthodologie commune, pour garantir la comparabilité et l’homogénéité des informations entre les pays européens.

Elle est issue de l'interprétation visuelle d'images satellitaires, avec des données complémentaires d'appui, avec l'identification de zones d'au moins 25 ha et de 5 ha pour les évolutions, de 100 m de large et homogènes du point de vue de l’occupation des sols.

L'échelle de production est le 1/100 000 et repose sur une nomenclature standard hiérarchisée en 3 niveaux. Elle comprend 44 postes répartis selon 5 grands types d'occupation du territoire :
  - territoires artificialisés
  - territoires agricoles
  - forêts et milieux semi-naturels
  - zones humides
  - surfaces en eau.

Pour prendre en compte les spécificités des DOM, 6 postes supplémentaires ont été créés dans un 4ème niveau de la nomenclature standard. Ces 6 postes sont : canne à sucre, bananeraies, palmeraies, cafiers, mangroves ainsi que cours et voies d'eau temporaires. De plus, le seuil de 25 ha est abaissé à 10 ha et la largeur minimale à 50 m. La surface minimale reste à 5 ha pour les changements.",Moyenne,Moyenne,Open Data,1,0,Europe,Statistiques officielles,Autre,N,N,N,N,N,O,N,https://land.copernicus.eu/pan-european/corine-land-cover/clc2018,,Sans objet,Sans objet,Sans objet,Sans objet,Sans objet,Sans objet,Sans objet,Sarah Daymier,Guillaume Sevellec,Fini,Sans objet,A analyser,Open Data,,N,N,N,,,,,,,,,,,Data,O,N,N,,,,,,,,,,,,Nécessite de se créer un compte pour pouvoir télécharger les données,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90.27%,17,,Agence européenne de l'environnement (AEE),"L'Agence européenne pour l'environnement (AEE) est une agence de l'Union européenne. Notre mission est de fournir des informations fiables et indépendantes sur l'environnement. Nous constituons une des principales sources d'information pour tous ceux qui participent à mettre au point, adopter, mettre en œuvre et évaluer la politique environnementale, ainsi que pour le grand public",https://www.eea.europa.eu/,5,Danemark,UE,secteur d'activité de l'administration publique (tutelle) des activités économiques,1994,NC,200 personnes,Public,Agence européenne décentralisée,UE,INDICATOR ASSESSMENT - Economic losses from climate-related extremes in Europe,"Between 1980 and 2019, climate-related extremes caused economic losses totalling an estimated EUR 446 billion in the EEA member countries. Although analysing trends in economic losses is difficult, partly as a result of high variability from year to year, climate-related extremes are becoming more common and, without mitigating action, could result in even greater losses in the coming years. The EU adaptation strategy aims to build resilience and ensure that Europe is well prepared to manage the risks and adapt to the impacts of climate change, thus minimising economic losses and other harms
Data provided by Munich Re",Moyenne,Moyenne,Open Data,1,1,Europe,Statistiques officielles,Physique,N,O,N,N,N,N,N,https://www.eea.europa.eu/data-and-maps/indicators/direct-losses-from-weather-disasters-4/assessment,,Sans objet,Sans objet,Sans objet,Sans objet,Sans objet,Sans objet,Sans objet,GVE,Soukaina TAZROUTI,Fini,Sans objet,Sans objet,Rapport,,N,N,N,Sans objet,N,N,N,N,N,N,,,,Rapport,N,O,N,Sans objet,Sans objet,Sans objet,Sans objet,Sans objet,Sans objet,Sans objet,Sans objet,Sans objet,Sans objet,Sans objet,Sans objet,Sans objet,Sans objet,Sans objet,Sans objet,Sans objet,Sans objet,Sans objet,Sans objet,Sans objet,Sans objet,Sans objet,Sans objet,Sans objet,Sans objet,Sans objet,Sans objet,Sans objet,Sans objet,Sans objet,Sans objet,Sans objet,Sans objet,Sans objet,Sans objet,Sans objet,Sans objet,Sans objet,Sans objet,Sans objet,Sans objet,,,,Sans objet,,
83.19%,18,,Agence ORE,"L’Agence ORE (Opérateurs de Réseaux d’Énergie) regroupe tous les acteurs de la distribution d’électricité et de gaz en France (plus de 125 entités), qui coopèrent avec un objectif commun : répondre aux nouveaux enjeux numériques de la transition énergétique. Association de service public, ses principales missions sont de :

Faciliter et fluidifier le fonctionnement des marchés de l’électricité et du gaz
Proposer une offre de données agrégées au service de la transition énergétique, à destination des acteurs des territoires et de l'innovation
C'est dans ce cadre que l'Agence ORE produit des jeux de données disponibles en Open Data ainsi que des datavisualisations pédagogiques.

portail Open Data : parmi les données disponibles, figurent les données de consommation annuelle d'électricité et de gaz à différents périmètres géographiques (communes, EPCI, départements, régions), mais aussi des données liées à la production, issues des membres de l'Agence ORE.

des datavisualisations : l'Agence ORE propose aussi des datavisualisations liées à la consommation et production d'électricité ou de gaz, mais aussi la cartographie des réseaux et d'autres sujets encore.",https://www.agenceore.fr/,11,France,France,Activités des organisations professionnelles,2017,But non lucratif,2-10 employés,Public,Association,,Consommation annuelle d’électricité et gaz par région et par secteur d’activité,"Ce jeu de données permet de visualiser l’évolution année par année (depuis 2011) des consommations d'électricité et gaz en MWh et du nombre de points de livraison, par secteur (résidentiel, tertiaire, industriel, agricole ou non affecté) et par maille géographique.

La maille géographique est la maille Région.

Ces données sont publiées dans le respect des règles relatives à la protection des Informations Commercialement Sensibles.",Moyenne,Basse,Open Data,1,0,France,Statistiques officielles,Transition,N,N,O,N,N,N,N,https://www.data.gouv.fr/fr/datasets/consommation-annuelle-delectricite-et-gaz-par-region-et-par-secteur-dactivite/,Dataviz Agence ORE,Sans objet,Sans objet,Sans objet,Sans objet,contact@agenceore.fr,Sans objet,Sans objet,Sarah DAYMIER,,Fini,Sans objet,Open Data,Open Data,Sarah DAYMIER,O,O,O,"CSV, JSON, GEOJSON, SHapefile",N,O,O,O,O,N,,,,Data,,,,Fevrier 2020,Annuelle,,France,Région,O,2011,2019,O,O,O,https://www.statistiques.developpement-durable.gouv.fr/changement-climatique,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,N,O,O,N,N,N,N,N,,N,N,N,,,,VIDE,,
